nominal_coverage,seed_index,n_prediction_slots,coverage,mean_interval_width_log10_papp
0.5,0,6895,0.4189992748368383,1.0228164563818232
0.5,1,6895,0.4529369108049311,1.0228164563818232
0.5,2,6895,0.4272661348803481,1.0228164563818232
0.5,3,6895,0.4691805656272661,1.0228164563818232
0.5,4,6895,0.4385786802030457,1.0228164563818232
0.8,0,6895,0.6543872371283539,1.986849841276891
0.8,1,6895,0.6807831762146483,1.986849841276891
0.8,2,6895,0.6633792603335751,1.986849841276891
0.8,3,6895,0.686874546773024,1.986849841276891
0.8,4,6895,0.6722262509064539,1.986849841276891
0.9,0,6895,0.7650471356055112,2.613766275756746
0.9,1,6895,0.7812907904278462,2.613766275756746
0.9,2,6895,0.7582306018854242,2.613766275756746
0.9,3,6895,0.7759245830311821,2.613766275756746
0.9,4,6895,0.7705583756345178,2.613766275756746
