source,sealed_block_id,outer_fold,n_records,mae_joint,mae_random,signed_bias_joint,signed_bias_random,rmse_joint,rmse_random,mae_gap_joint_minus_random,absolute_bias_joint,absolute_bias_random,gap_seed_mean,gap_seed_sd,n_positive_seeds,n_negative_seeds
2006_Rezai_1,BLOCK-513383ed86a73488,5,8,0.436510232016,0.592534830626,0.087218801305,0.497654420789,0.633071353664,0.666591850649,-0.156024598610,0.087218801305,0.497654420789,-0.156024598610,0.159290848684,1,4
2024_Otani,BLOCK-e729b0aa52978c75,17,7,0.501343967732,0.561861434268,-0.166155895763,0.228680274703,0.582522919206,0.697041062758,-0.060517466536,0.166155895763,0.228680274703,-0.060517466536,0.030591999217,0,5
2015_Nielsen,BLOCK-513383ed86a73488,5,2,0.703846427947,0.714089308858,-0.436042371541,0.485096973777,0.838039733649,0.833713572160,-0.010242880911,0.436042371541,0.485096973777,-0.010242880911,0.092359851152,3,2
2015_Bockus_1,BLOCK-513383ed86a73488,5,15,0.386899372705,0.377994767686,0.124859612306,0.025491367002,0.484859855866,0.472672140552,0.008904605019,0.124859612306,0.025491367002,0.008904605019,0.066742808782,3,2
2022_Bhardwaj,BLOCK-513383ed86a73488,5,133,0.561261396275,0.486913398213,0.011220431739,-0.054832111863,0.706167382084,0.629953923947,0.074347998063,0.011220431739,0.054832111863,0.074347998063,0.092776435341,4,1
2021_Golosov,BLOCK-394ff80f01cbc968,2,16,0.517469794266,0.421823714394,-0.228480620869,-0.065979526471,0.601622450064,0.519068518607,0.095646079872,0.228480620869,0.065979526471,0.095646079872,0.118780768974,4,1
2021_Wang,BLOCK-d0fe24e9c28856d1,16,18,0.726732514323,0.622883345936,-0.509800228001,0.078409395719,0.899964385354,0.753915227460,0.103849168387,0.509800228001,0.078409395719,0.103849168387,0.154152448824,4,1
2016_Frost,BLOCK-513383ed86a73488,5,12,0.644354359314,0.521141095368,-0.279344369893,-0.262131536988,0.860796216772,0.638218260968,0.123213263946,0.279344369893,0.262131536988,0.123213263946,0.353360457926,3,2
2020_Barlow,BLOCK-8dbd1f0100199b32,10,18,0.591514896570,0.453896480562,-0.159400404096,-0.169572004237,0.762949405883,0.608936816198,0.137618416008,0.159400404096,0.169572004237,0.137618416008,0.121864763604,4,1
2024_Bergeron,BLOCK-5930edb067c8c52f,6,3,0.888795229793,0.725014827351,-0.721018980940,-0.510385777056,1.060683251505,0.897965064864,0.163780402442,0.721018980940,0.510385777056,0.163780402442,0.342352076792,4,1
2018_Kaneda,BLOCK-fc0b343dfac9ab9d,18,7,0.566053393330,0.394206431746,-0.093550557920,0.170318653158,0.643763000165,0.475985183769,0.171846961583,0.093550557920,0.170318653158,0.171846961583,0.102363683128,5,0
2021_Comeau,BLOCK-bb4bcb852b735057,12,42,0.730440074382,0.538759681086,0.625773569727,0.082067440182,0.905297112254,0.699071005503,0.191680393296,0.625773569727,0.082067440182,0.191680393296,0.158814702620,4,1
2021_Kelly,BLOCK-4494eb5738fce47c,3,1518,0.486400957552,0.289707531404,0.146598612242,0.005617539172,0.644847740266,0.406777106996,0.196693426148,0.146598612242,0.005617539172,0.196693426148,0.031920087723,5,0
2015_Wang,BLOCK-513383ed86a73488,5,50,0.839389249719,0.626754670120,0.260358438117,0.174997291262,1.103954421948,0.772800457047,0.212634579598,0.260358438117,0.174997291262,0.212634579598,0.133875633126,5,0
2020_Townsend,BLOCK-513383ed86a73488,5,2866,0.501682020163,0.259907689138,-0.342548467162,-0.009722270445,0.602139244700,0.344420192820,0.241774331025,0.342548467162,0.009722270445,0.241774331025,0.156373392918,5,0
2020_Furukawa,BLOCK-5f91132e1b252609,9,36,0.641651581860,0.376506946577,0.320513401108,0.061403730276,0.843746332912,0.493605443898,0.265144635283,0.320513401108,0.061403730276,0.265144635283,0.061574886628,5,0
2024_Ly,BLOCK-bb4bcb852b735057,12,20,0.843845414788,0.573547544347,-0.427400988191,-0.054603522979,0.936316967839,0.764407013253,0.270297870441,0.427400988191,0.054603522979,0.270297870441,0.192722294666,5,0
