sealed_block_id,outer_fold,n_records,n_sources,mae_joint,mae_random,signed_bias_joint,signed_bias_random,rmse_joint,rmse_random,mae_gap_joint_minus_random,absolute_bias_joint,absolute_bias_random
BLOCK-2c0090ee1dd5b17e,1,16,1,0.575531821877,0.275701419266,0.351005866677,0.079949489301,0.726275187952,0.349436902478,0.299830402611,0.351005866677,0.079949489301
BLOCK-394ff80f01cbc968,2,16,1,0.517469794266,0.421823714394,-0.228480620869,-0.065979526471,0.601622450064,0.519068518607,0.095646079872,0.228480620869,0.065979526471
BLOCK-4494eb5738fce47c,3,1518,1,0.486400957552,0.289707531404,0.146598612242,0.005617539172,0.644847740266,0.406777106996,0.196693426148,0.146598612242,0.005617539172
BLOCK-4acd8e0f532c9eb9,4,11,1,0.738729406056,0.321793032820,0.700898254094,0.061640934077,0.794732138663,0.402473974075,0.416936373237,0.700898254094,0.061640934077
BLOCK-513383ed86a73488,5,4010,20,0.604196907718,0.278589279240,-0.238117700731,-0.007157779112,0.789210167576,0.388639005786,0.325607628478,0.238117700731,0.007157779112
BLOCK-5930edb067c8c52f,6,3,1,0.888795229793,0.725014827351,-0.721018980940,-0.510385777056,1.060683251505,0.897965064864,0.163780402442,0.721018980940,0.510385777056
BLOCK-5c361cba45039733,7,842,1,0.930763160254,0.278333300536,-0.756213101941,0.011375513038,1.019850860534,0.419176679137,0.652429859718,0.756213101941,0.011375513038
BLOCK-5ddb30f65478f699,8,4,1,1.836969710439,0.318997015044,-1.836969710439,0.045390847400,1.978766649283,0.399730611521,1.517972695395,1.836969710439,0.045390847400
BLOCK-5f91132e1b252609,9,36,1,0.641651581860,0.376506946577,0.320513401108,0.061403730276,0.843746332912,0.493605443898,0.265144635283,0.320513401108,0.061403730276
BLOCK-8dbd1f0100199b32,10,18,1,0.591514896570,0.453896480562,-0.159400404096,-0.169572004237,0.762949405883,0.608936816198,0.137618416008,0.159400404096,0.169572004237
BLOCK-ad504a636f9fcddf,11,17,1,0.974793438886,0.387011344710,-0.958423379585,0.049055885199,1.123993818020,0.506229071004,0.587782094176,0.958423379585,0.049055885199
BLOCK-bb4bcb852b735057,12,105,3,0.864470741725,0.439160392750,-0.237595497225,0.030156225136,0.999575821428,0.624734107619,0.425310348975,0.237595497225,0.030156225136
BLOCK-bb889e938c0a001a,13,10,1,0.775105746326,0.234208805865,-0.707453741804,-0.045850625783,0.845552266026,0.292051222181,0.540896940461,0.707453741804,0.045850625783
BLOCK-c1585d53eda9a867,14,8,2,2.614590302110,0.508945444264,-2.614590302110,-0.461077495851,2.622938318894,0.744298107111,2.105644857846,2.614590302110,0.461077495851
BLOCK-c5e520eb3b94ff25,15,249,2,1.056195906750,0.445131166302,0.951223393068,0.004382639451,1.279904765447,0.577825193356,0.611064740448,0.951223393068,0.004382639451
BLOCK-d0fe24e9c28856d1,16,18,1,0.726732514323,0.622883345936,-0.509800228001,0.078409395719,0.899964385354,0.753915227460,0.103849168387,0.509800228001,0.078409395719
BLOCK-e729b0aa52978c75,17,7,1,0.501343967732,0.561861434268,-0.166155895763,0.228680274703,0.582522919206,0.697041062758,-0.060517466536,0.166155895763,0.228680274703
BLOCK-fc0b343dfac9ab9d,18,7,1,0.566053393330,0.394206431746,-0.093550557920,0.170318653158,0.643763000165,0.475985183769,0.171846961583,0.093550557920,0.170318653158
