variant,seed_index,source_macro_mae
D1,0,0.8707223055119183
D1,1,0.8956073528931086
D1,2,0.9266279148239215
D1,3,0.8673369944860523
D1,4,0.9645419974502032
D2,0,0.9728041983194478
D2,1,0.9964828338276663
D2,2,0.9397865108784872
D2,3,0.9619717132766161
D2,4,0.9830871542182913
D3,0,1.0173872615425683
D3,1,1.0256917089212914
D3,2,1.0117706205461094
D3,3,0.9600273788786038
D3,4,0.9695146503296066
