source,d1_mae,d2_mae,d3_mae,d3_minus_d1
2018_Kaneda,0.6995593260249922,0.4051287817529269,0.38524737201418185,-0.3143119540108103
2015_Nielsen,0.8886479938030243,0.6378249847888947,0.5929590845108033,-0.295688909292221
2020_Barlow,0.8185350914771359,0.6648022358264359,0.5626574276950624,-0.25587766378207344
2015_Lewis,1.0287217855453492,0.5821272015571595,0.7813098192214966,-0.24741196632385265
2022_Saunders,1.5168354013860224,1.0121314946115016,1.2752561482340097,-0.24157925315201267
2024_Faris,0.9131546163418738,0.926493954882279,0.7220148329542987,-0.1911397833875751
2024_Koch,0.9201617911114452,0.9226237941938262,0.788720568672719,-0.13144122243872625
2021_Golosov,0.9410076830396429,0.7093657616060228,0.8157906319946052,-0.12521705104503766
2015_Bockus_2,0.7788578610104673,0.6724459031978075,0.6655578938021378,-0.11329996720832947
2021_Comeau,0.8558841816967441,1.0101786787900187,0.7506932096225875,-0.10519097207415662
2020_Townsend,0.4565052854189102,0.35450354299033726,0.38329356574691414,-0.07321171967199608
2024_Otani,0.6504256984757683,0.6679476617756752,0.5788417589216698,-0.07158393955409847
2022_Tamura,0.6991701835930348,0.47365206172615304,0.6665108351618052,-0.03265934843122964
2015_Marelli,0.6509414690732956,0.5926856383681297,0.6202079579234123,-0.03073351114988332
2006_Rezai_1,0.642061825096607,0.7675736077129839,0.6129844978451727,-0.029077327251434304
2024_Ly,0.8450448484461754,0.6046905501965433,0.8159935359582307,-0.02905131248794479
2018_García-Pindado,0.2600196973681449,0.49781699291616677,0.23947193095087999,-0.020547766417264912
2015_Bockus_1,0.32497534683545426,0.34851816612879427,0.3118964207331339,-0.013078926102320365
2015_Ahlbach,0.8814800752805126,0.9120596748258798,0.873110480217203,-0.008369595063309587
2021_Wang,1.2039314963130487,0.7580397388173475,1.2206250892496773,0.016693592936628532
2018_Naylor,0.8200297327565236,0.8633221169664628,0.8429492938299147,0.022919561073391104
2006_Rezai_2,1.0973572204295883,1.0452957993017677,1.1285667130621995,0.03120949263261119
2024_Bergeron,0.9084546625614166,0.5923302090416351,0.9410044014453888,0.03254973888397217
2016_Hickey,1.1141394573698442,1.3241318868183427,1.1681092999461626,0.05396984257631843
2022_Bhardwaj,0.55935921556581,0.5488049202859402,0.6190435743570551,0.05968435879124512
2016_Furukawa,0.825453658243737,0.7697278280655805,0.89476594442415,0.06931228618041307
2016_Frost,0.4010259400010109,0.4667916339312992,0.4858483775717518,0.08482243757074093
2023_Ghosh,1.1318607756289942,1.0099806869441066,1.2195713642958936,0.0877105886668994
2022_Taechalertpaisarn,0.6607760322427749,0.6431235034868121,0.7767173668801785,0.11594133463740353
2020_Le Roux,1.1041969857325906,0.6572186644340671,1.2283162400091805,0.12411925427658987
2015_Wang,0.7588237516716122,0.9372212935471534,0.8833950079572201,0.12457125628560795
2022_Lee,2.7916773672330946,3.1359941421236313,2.9395071672257926,0.14782979999269807
2019_Ono,1.2030006924271586,1.159121785461903,1.3824474805593492,0.17944678813219062
2020_Furukawa,0.5649680561440894,0.6897909710767368,0.7468764509210983,0.18190839477700893
2020_Hosono,0.5647030755227262,0.5502941066568547,0.753629981160164,0.18892690563743775
2021_Lee,1.520186661084493,1.8371253315607707,1.8157245739301047,0.2955379128456117
2017_Pye,0.6280905071720481,0.6184793957918883,1.14270622799173,0.5146157208196819
2013_CHUGAI,1.053260301521433,1.4552146712477119,1.7241610873554638,0.6709007858340308
2021_Kelly,0.5640648402922857,1.0040543446860846,1.263223792969984,0.6991589526776985
2018_Buckton,1.4402707464993,3.457332801818848,2.4954020619392394,1.0551313154399393
2018_Lee,1.416038496916493,3.517919246355693,2.7569018165270487,1.3408633196105557
