outer_fold,sealed_block_id,n,d1_mae,d2_mae,d3_mae,d3_minus_d1
1,BLOCK-2c0090ee1dd5b17e,16,0.6280905071720481,0.6184793957918883,1.14270622799173,0.5146157208196819
2,BLOCK-394ff80f01cbc968,16,0.9410076830396429,0.7093657616060228,0.8157906319946052,-0.12521705104503766
3,BLOCK-4494eb5738fce47c,1518,0.5640648402922857,1.0040543446860846,1.263223792969984,0.6991589526776985
4,BLOCK-4acd8e0f532c9eb9,11,1.0973572204295883,1.0452957993017677,1.1285667130621995,0.03120949263261119
5,BLOCK-513383ed86a73488,4010,0.5627038888130216,0.4841685854079681,0.5291684363107878,-0.033535452502233776
6,BLOCK-5930edb067c8c52f,3,0.9084546625614166,0.5923302090416351,0.9410044014453888,0.03254973888397217
7,BLOCK-5c361cba45039733,842,1.053260301521433,1.4552146712477119,1.7241610873554638,0.6709007858340308
8,BLOCK-5ddb30f65478f699,4,0.2600196973681449,0.49781699291616677,0.23947193095087999,-0.020547766417264912
9,BLOCK-5f91132e1b252609,36,0.5649680561440894,0.6897909710767368,0.7468764509210983,0.18190839477700893
10,BLOCK-8dbd1f0100199b32,18,0.8185350914771359,0.6648022358264359,0.5626574276950624,-0.25587766378207344
11,BLOCK-ad504a636f9fcddf,17,0.7788578610104673,0.6724459031978075,0.6655578938021378,-0.11329996720832947
12,BLOCK-bb4bcb852b735057,105,0.955509552254173,0.788397315083586,0.9587293699400765,0.0032198176859035144
13,BLOCK-bb889e938c0a001a,10,0.6991701835930348,0.47365206172615304,0.6665108351618052,-0.03265934843122964
14,BLOCK-c1585d53eda9a867,8,1.4220965593121948,3.5027726352214814,2.6915268778800963,1.2694303185679015
15,BLOCK-c5e520eb3b94ff25,249,0.9143365494355364,0.9258411566938651,0.733266402834514,-0.18107014660102239
16,BLOCK-d0fe24e9c28856d1,18,1.2039314963130487,0.7580397388173475,1.2206250892496773,0.016693592936628532
17,BLOCK-e729b0aa52978c75,7,0.6504256984757683,0.6679476617756752,0.5788417589216698,-0.07158393955409847
18,BLOCK-fc0b343dfac9ab9d,7,0.6995593260249922,0.4051287817529269,0.38524737201418185,-0.3143119540108103
